,time[ms],time_0,csv_load_0,time_1,csv_load_1
2481,7500,7500,0.3628318584070797,7200.0,0.9166666666666666
2482,7600,7600,0.6375838926174496,7300.0,0.8181818181818182
2483,7700,7700,0.6283185840707964,7400.0,0.75
2484,7800,7800,0.6571428571428571,7500.0,
2485,7900,7900,0.7111111111111111,7600.0,
2486,8000,8000,0.7666666666666667,7700.0,0.7272727272727273
2487,0,0,,7800.0,0.7692307692307693
2488,100,100,0.9790575916230366,7900.0,0.8888888888888888
2489,200,200,0.9393939393939394,8000.0,0.7272727272727273
2490,300,300,0.7959183673469388,8100.0,0.7777777777777778
2491,400,400,0.6271186440677966,0.0,
2492,500,500,0.945121951219512,100.0,0.8461538461538461
2493,600,600,0.8697916666666666,200.0,
2494,700,700,0.8644067796610171,300.0,
2495,800,800,0.9325842696629212,400.0,0.6
2496,900,900,0.9,500.0,0.7692307692307693
2497,1000,1000,0.8306010928961749,600.0,
2498,1100,1100,0.8571428571428571,700.0,
2499,1200,1200,0.8958333333333334,800.0,0.9230769230769232
2500,1300,1300,0.9189189189189192,900.0,1.0
2501,1400,1400,0.7777777777777778,1000.0,
2502,1500,1500,0.6444444444444445,1100.0,
2503,1600,1600,0.8043478260869565,1200.0,0.9230769230769232
2504,1700,1700,0.8187134502923976,1300.0,0.8
2505,1800,1800,0.9321266968325792,1400.0,0.7368421052631579
2506,1900,1900,0.8653846153846154,1500.0,0.8888888888888888
2507,2000,2000,0.8320610687022901,1600.0,0.8888888888888888
2508,2100,2100,0.8385093167701864,1700.0,
2509,2200,2200,0.7398843930635838,1800.0,
2510,2300,2300,0.6875,1900.0,0.8823529411764706
2511,2400,2400,,2000.0,0.9090909090909092
2512,2500,2500,,2100.0,
2513,2600,2600,0.42657342657342656,2200.0,
2514,2700,2700,0.7152777777777778,2300.0,0.9090909090909092
2515,2800,2800,0.9068627450980392,2400.0,
2516,2900,2900,0.6496350364963503,2500.0,
2517,3000,3000,0.627906976744186,2600.0,0.8461538461538461
2518,3100,3100,0.5925925925925926,2700.0,0.8181818181818182
2519,3200,3200,0.6395348837209303,2800.0,
2520,3300,3300,0.6470588235294118,2900.0,
2521,3400,3400,0.6646706586826348,3000.0,0.7272727272727273
2522,3500,3500,0.6875,3100.0,0.8
2523,3600,3600,0.3931623931623932,3200.0,0.8
2524,3700,3700,0.6565656565656566,3300.0,0.9
2525,3800,3800,0.6256983240223464,3400.0,
2526,3900,3900,0.6411764705882353,3500.0,
2527,4000,4000,0.6787878787878788,3600.0,0.4705882352941176
2528,4100,4100,0.6518518518518519,3700.0,0.8181818181818182
2529,4200,4200,0.5902777777777778,3800.0,0.8333333333333334
2530,4300,4300,0.6243386243386243,3900.0,
2531,4400,4400,0.696551724137931,4000.0,
2532,4500,4500,0.8382352941176471,4100.0,0.7692307692307693
2533,4600,4600,0.8275862068965517,4200.0,0.6666666666666666
2534,4700,4700,0.5555555555555556,4300.0,0.7777777777777778
2535,4800,4800,0.6232876712328768,4400.0,0.8
2536,4900,4900,0.6187845303867403,4500.0,
2537,5000,5000,0.6705882352941176,4600.0,
2538,5100,5100,0.6690647482014388,4700.0,0.9166666666666666
2539,5200,5200,0.6158536585365854,4800.0,0.6666666666666666
2540,5300,5300,0.6032608695652174,4900.0,0.9333333333333332
2541,5400,5400,0.7062146892655368,5000.0,0.6363636363636364
2542,5500,5500,0.6335877862595419,5100.0,0.7272727272727273
2543,5600,5600,0.5576923076923077,5200.0,0.9
2544,5700,5700,0.6628571428571428,5300.0,0.7777777777777778
2545,5800,5800,0.648,5400.0,0.7692307692307693
2546,5900,5900,0.6341463414634146,5500.0,
2547,6000,6000,0.6442307692307693,5600.0,
2548,6100,6100,0.6496815286624203,5700.0,0.8181818181818182
2549,6200,6200,0.608,5800.0,0.8461538461538461
2550,6300,6300,0.6524822695035462,5900.0,0.9166666666666666
2551,6400,6400,0.7314285714285714,6000.0,
2552,6500,6500,0.6560509554140127,6100.0,
2553,6600,6600,0.6576576576576577,6200.0,0.8125
2554,6700,6700,0.5086705202312138,6300.0,0.8461538461538461
2555,6800,6800,0.5583756345177665,6400.0,0.7777777777777778
2556,6900,6900,0.6301369863013698,6500.0,
2557,7000,7000,0.6241134751773051,6600.0,
2558,7100,7100,0.6257668711656442,6700.0,0.5294117647058824
2559,7200,7200,0.62,6800.0,0.8461538461538461
2560,7300,7300,0.5961538461538461,6900.0,0.8
2561,7400,7400,0.6484848484848484,7000.0,
2562,7500,7500,0.6770186335403726,7100.0,
2563,7600,7600,0.5897435897435898,7200.0,1.0
2564,7700,7700,0.6111111111111112,7300.0,0.8181818181818182
2565,7800,7800,0.42,7400.0,0.75
2566,7900,7900,0.5933333333333334,7500.0,
2567,8000,8000,0.65,7600.0,
2568,0,0,,7700.0,0.5
2569,100,100,0.949238578680203,7800.0,0.8181818181818182
2570,200,200,0.620253164556962,7900.0,0.8888888888888888
2571,300,300,0.7698412698412699,8000.0,0.7
2572,400,400,0.8357142857142857,0.0,
2573,500,500,0.8633879781420765,100.0,0.9166666666666666
2574,600,600,0.8715083798882681,200.0,0.8888888888888888
2575,700,700,0.9130434782608696,300.0,
2576,800,800,0.9857142857142858,400.0,
2577,900,900,0.8942307692307693,500.0,0.7857142857142857
2578,1000,1000,0.8297872340425532,600.0,0.8888888888888888
2579,1100,1100,0.8536585365853658,700.0,
2580,1200,1200,0.9591836734693876,800.0,
2581,1300,1300,0.5909090909090909,900.0,0.8333333333333334
2582,1400,1400,0.7090909090909091,1000.0,0.9166666666666666
2583,1500,1500,0.7710843373493976,1100.0,0.8461538461538461
2584,1600,1600,0.7660818713450293,1200.0,
2585,1700,1700,,1300.0,
2586,1800,1800,,1400.0,
2587,1900,1900,0.8775510204081632,1500.0,
2588,2000,2000,0.8260869565217391,1600.0,0.8571428571428571
2589,2100,2100,0.8698630136986302,1700.0,0.8
2590,2200,2200,0.78125,1800.0,
2591,2300,2300,0.33962264150943394,1900.0,
2592,2400,2400,0.7083333333333334,2000.0,0.9
2593,2500,2500,0.6217948717948718,2100.0,0.8461538461538461
2594,2600,2600,0.6296296296296297,2200.0,0.8461538461538461
2595,2700,2700,0.883177570093458,2300.0,
2596,2800,2800,0.8148148148148148,2400.0,
2597,2900,2900,0.6513157894736842,2500.0,
2598,3000,3000,0.7181818181818181,2600.0,
2599,3100,3100,0.6415094339622641,2700.0,0.875
2600,3200,3200,0.6108786610878661,2800.0,0.9333333333333332
2601,3300,3300,0.6417910447761194,2900.0,
2602,3400,3400,0.3611111111111111,3000.0,
2603,3500,3500,0.6666666666666666,3100.0,0.75
2604,3600,3600,0.6168831168831169,3200.0,0.7272727272727273
2605,3700,3700,0.7054794520547946,3300.0,0.9090909090909092
2606,3800,3800,0.6335078534031413,3400.0,
2607,3900,3900,0.6335877862595419,3500.0,
2608,4000,4000,0.60431654676259,3600.0,0.5
2609,4100,4100,0.6122448979591837,3700.0,0.7692307692307693
2610,4200,4200,0.64375,3800.0,
2611,4300,4300,0.5876777251184834,3900.0,
2612,4400,4400,0.5395683453237411,4000.0,0.8333333333333334
2613,4500,4500,0.5,4100.0,0.9
2614,4600,4600,0.6122448979591837,4200.0,0.7
2615,4700,4700,0.6839622641509434,4300.0,1.0
2616,4800,4800,0.6556291390728477,4400.0,0.7777777777777778
2617,4900,4900,0.6461538461538462,4500.0,1.0
2618,5000,5000,0.6405228758169934,4600.0,0.4615384615384616
2619,5100,5100,0.6748466257668712,4700.0,0.6363636363636364
2620,5200,5200,0.6293706293706294,4800.0,0.7
2621,5300,5300,0.625,4900.0,0.6666666666666666
2622,5400,5400,0.6131386861313869,5000.0,0.9
2623,5500,5500,0.6486486486486487,5100.0,0.9
2624,5600,5600,0.6237623762376238,5200.0,
2625,5700,5700,0.6627906976744186,5300.0,
2626,5800,5800,0.6938775510204082,5400.0,0.75
2627,5900,5900,0.625,5500.0,0.7692307692307693
2628,6000,6000,0.6480446927374302,5600.0,0.8
2629,6100,6100,0.6787878787878788,5700.0,0.8
2630,6200,6200,0.55,5800.0,0.8181818181818182
2631,6300,6300,0.5536723163841808,5900.0,
2632,6400,6400,,6000.0,
2633,6500,6500,,6100.0,0.8888888888888888
